SUBTREE OF BST
Life's A Mess (feat. Halsey) by Juice WRLD has streamed 5458976 times and streamed on average 5171089 times
Lights Up by Harry Styles has streamed 4325411 times and streamed on average 4325411 times
Like That (feat. Gucci Mane) by Doja Cat has streamed 4937841 times and streamed on average 4751609 times
Lion King On Ice by J. Cole has streamed 8293983 times and streamed on average 8293983 times
Lithuania (feat. Travis Scott) by Big Sean has streamed 5949270 times and streamed on average 5949270 times
Lose Control by MEDUZA has streamed 6668197 times and streamed on average 5779930 times
Lose Somebody by Kygo has streamed 10573306 times and streamed on average 7759536 times
Lose You To Love Me by Selena Gomez has streamed 4322088 times and streamed on average 4322088 times
Love To Hate Me by BLACKPINK has streamed 13004153 times and streamed on average 13004153 times
Lovefool by twocolors has streamed 4480837 times and streamed on average 4460313 times
lovely (with Khalid) by Billie Eilish has streamed 7433259 times and streamed on average 7300846 times
Lovesick Girls by BLACKPINK has streamed 26331588 times and streamed on average 26331588 times
Lucid Dreams by Juice WRLD has streamed 7909248 times and streamed on average 7942085 times
Mad at Disney by salem ilese has streamed 6581283 times and streamed on average 7924772 times
mad woman by Taylor Swift has streamed 15741679 times and streamed on average 11269011 times
Madrid by Maluma has streamed 5101100 times and streamed on average 5393675 times
Make It Rain (feat. Rowdy Rebel) by Pop Smoke has streamed 8402816 times and streamed on average 6498532 times
MAMACITA by Black Eyed Peas has streamed 15101202 times and streamed on average 10652438 times
Mamichula - con Nicki Nicole by Trueno has streamed 10979947 times and streamed on average 8917005 times
Man Of The Year by Juice WRLD has streamed 11390506 times and streamed on average 8806753 times
Many Men by 21 Savage has streamed 8675173 times and streamed on average 8675173 times
Mariposa by Peach Tree Rascals has streamed 4982370 times and streamed on average 4787868 times
Martin & Gina by Polo G has streamed 4556386 times and streamed on average 5292889 times
Me Gusta (with Cardi B & Myke Towers) by Anitta has streamed 11459992 times and streamed on average 9881999 times
Memories by Maroon 5 has streamed 10049594 times and streamed on average 9105868 times
Mi Cuarto by Jerry Di has streamed 6677147 times and streamed on average 8287774 times
Mi Niña by Wisin has streamed 4881061 times and streamed on average 4881061 times
Midnight Sky by Miley Cyrus has streamed 15469146 times and streamed on average 13438291 times
mirrorball by Taylor Swift has streamed 19935454 times and streamed on average 12749763 times
MODUS by Joji has streamed 6013371 times and streamed on average 6013371 times
Money In The Grave (Drake ft. Rick Ross) by Drake has streamed 4403348 times and streamed on average 4403348 times
Money Trees by Kendrick Lamar has streamed 4680817 times and streamed on average 4656770 times
Monster by Red Velvet - IRENE & SEULGI has streamed 5030481 times and streamed on average 5030481 times
Mood (feat. iann dior) by 24kGoldn has streamed 4992142 times and streamed on average 21451352 times
Mood Swings (feat. Lil Tjay) by Pop Smoke has streamed 7677519 times and streamed on average 10192844 times
Moonlight by XXXTENTACION has streamed 4893035 times and streamed on average 4726861 times
Morado by J Balvin has streamed 5569313 times and streamed on average 5065624 times
MORE & MORE by TWICE has streamed 4592745 times and streamed on average 4592745 times
Move Ya Hips (feat. Nicki Minaj & MadeinTYO) by A$AP Ferg has streamed 5768616 times and streamed on average 5768616 times
Mr. Brightside by The Killers has streamed 4400112 times and streamed on average 4421819 times
Mr. Right Now (feat. Drake) by 21 Savage has streamed 15629052 times and streamed on average 15629052 times
My Dawg by 21 Savage has streamed 6029118 times and streamed on average 6029118 times
my ex's best friend (with blackbear) by Machine Gun Kelly has streamed 7045988 times and streamed on average 8712854 times
my future by Billie Eilish has streamed 23520611 times and streamed on average 14345241 times
My Oasis (feat. Burna Boy) by Sam Smith has streamed 7024040 times and streamed on average 5955622 times
my tears ricochet by Taylor Swift has streamed 23053435 times and streamed on average 14082425 times
Myron by Lil Uzi Vert has streamed 4593309 times and streamed on average 4593309 times
Máquina do Tempo by Matuê has streamed 4938139 times and streamed on average 4938139 times
Narcos by Anuel AA has streamed 4634276 times and streamed on average 4633794 times
Narrow Road (feat. Lil Baby) by NLE Choppa has streamed 4828004 times and streamed on average 4828004 times
Never Know (feat. SHIRIN DAVID) by Luciano has streamed 4803071 times and streamed on average 4803071 times
Never Let Me Down by VIZE has streamed 4574508 times and streamed on average 4548256 times
No Guidance (feat. Drake) by Chris Brown has streamed 4534647 times and streamed on average 4677794 times
No Idea by Don Toliver has streamed 4369849 times and streamed on average 4369849 times
No Me Conoce - Remix by Jhay Cortez has streamed 4521445 times and streamed on average 4511316 times
No Opp Left Behind by 21 Savage has streamed 5154955 times and streamed on average 5154955 times
Nobody's Love by Maroon 5 has streamed 9612671 times and streamed on average 7285318 times
Not Shy by ITZY has streamed 7006754 times and streamed on average 5994493 times
ocean eyes by Billie Eilish has streamed 4476954 times and streamed on average 4476954 times
Oh Juliana by Niack has streamed 4796208 times and streamed on average 4895276 times
OK Not To Be OK by Marshmello has streamed 8772844 times and streamed on average 7208183 times
Old Town Road - Remix by Lil Nas X has streamed 4976725 times and streamed on average 4810271 times
ON by BTS has streamed 5391018 times and streamed on average 5391018 times
Only You Freestyle by Headie One has streamed 5228796 times and streamed on average 4854788 times
OUT WEST (feat. Young Thug) by JACKBOYS has streamed 5372665 times and streamed on average 4984833 times
Outta Time (feat. Drake) by Bryson Tiller has streamed 7762934 times and streamed on average 7762934 times
Over Now (with The Weeknd) by Calvin Harris has streamed 14421010 times and streamed on average 9644315 times
Over Your Head by Future has streamed 5534361 times and streamed on average 5534361 times
PA' ROMPERLA by Bad Bunny has streamed 4312675 times and streamed on average 4312675 times
PAM by Justin Quiles has streamed 5543332 times and streamed on average 5022386 times
Parasite Eve by Bring Me The Horizon has streamed 4545883 times and streamed on average 4545883 times
Parce (feat. Justin Quiles) by Maluma has streamed 5947188 times and streamed on average 6475133 times
Party Girl by StaySolidRocky has streamed 18948084 times and streamed on average 12932182 times
Party Girl (Remix) by StaySolidRocky has streamed 19978914 times and streamed on average 17554104 times
Past Life (with Selena Gomez) by Trevor Daniel has streamed 5191401 times and streamed on average 5209917 times
peace by Taylor Swift has streamed 13821091 times and streamed on average 9882471 times
Perfect by Ed Sheeran has streamed 5393960 times and streamed on average 5536800 times
Photograph by Ed Sheeran has streamed 4856747 times and streamed on average 4856747 times
Physical by Dua Lipa has streamed 6892152 times and streamed on average 5745979 times
Play Date by Melanie Martinez has streamed 11199552 times and streamed on average 8299381 times
POPSTAR (feat. Drake) by DJ Khaled has streamed 23212151 times and streamed on average 18740828 times
PORFA by Feid has streamed 7933302 times and streamed on average 6317709 times
PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix by Feid has streamed 4541828 times and streamed on average 4706061 times
Pretty Boy (feat. Lil Yachty) by Joji has streamed 5141212 times and streamed on average 5141212 times
Pretty Savage by BLACKPINK has streamed 16158235 times and streamed on average 16158235 times
